month,prompt_count,agent_prompt_count,total_prompts,session_count,tokens_in,tokens_out,cache_read,cache_create,total_tokens,cost_input_usd,cost_output_usd,cost_cache_read_usd,cost_cache_write_usd,cost_total_usd,tool_calls,agents_spawned,primary_model,cat_ai,cat_artwork,cat_audio,cat_build,cat_combat,cat_confirmation,cat_content,cat_debugging,cat_devtools,cat_documentation,cat_dungeon,cat_ecs,cat_game_design,cat_gamestate,cat_hero,cat_input,cat_networking,cat_other,cat_physics,cat_planning,cat_refactor,cat_rendering,cat_save,cat_spawning,cat_system,cat_tooling,cat_ui
2026-01,1136,469,1605,82,3963,94080,51917710,35533232,87548985,0.02,2.16,24.48,190.41,217.07,158,67,claude-opus-4-5-20251101,63,18,12,16,100,66,25,69,34,9,20,97,26,74,14,2,377,93,14,81,3,59,10,12,190,42,79
2026-02,408,0,408,40,1124,1454,25763090,9284884,35050552,0.02,0.11,36.25,151.0,187.37,37,8,claude-opus-4-6,22,25,0,5,10,8,6,10,8,10,4,7,4,4,4,2,25,58,4,15,2,59,1,3,21,17,74
